(-4.8, 68.5, 25.5)
(3.2, 68.5, 30.0)
(-20.8, 68.5, -17.5)
(0.4, 68.5, 13.7)
(14.0, 68.5, 20.1)
(-19.0, 68.5, -9.4)
(7.1, 68.5, -15.2)
(4.2, 68.5, 20.9)
(29.6, 68.5, -9.5)
(-7.5, 68.5, 30.9)
(-6.3, 68.5, -4.0)
(24.3, 68.5, 15.9)
(-17.1, 68.5, -14.1)
(-13.0, 68.5, -0.3)
(17.8, 68.5, -21.4)
(16.0, 68.5, -13.7)
(20.9, 68.5, 12.5)
(11.5, 68.5, 14.3)
(17.4, 68.5, -16.8)
(24.5, 68.5, -17.1)
(20.8, 68.5, -14.2)
(22.7, 68.5, -12.5)
(12.0, 68.5, -14.0)
(22.0, 68.5, -19.3)
(-24.8, 68.5, -12.8)
(3.3, 68.5, -25.5)
(-6.3, 68.5, -9.2)
(-20.6, 68.5, -2.1)
(-13.9, 68.5, 8.8)
(21.7, 68.5, 1.3)
(-31.9, 68.5, -6.7)
(21.6, 68.5, 8.2)
(17.2, 68.5, 9.5)
(16.8, 68.5, 15.4)
(22.8, 68.5, 18.7)
(-27.5, 68.5, -5.9)
(-7.6, 68.5, 9.6)
(-12.8, 68.5, -27.9)
(-13.3, 68.5, 15.8)
(-16.6, 68.5, 18.6)
(4.2, 68.5, 31.5)
(1.8, 68.5, -15.2)
(-15.5, 68.5, -19.0)
(13.1, 68.5, 15.5)
(-29.4, 68.5, 7.9)
(-4.1, 68.5, -8.2)
(-22.2, 68.5, 2.8)
(20.5, 68.5, -5.7)
(-2.9, 68.5, -17.1)
(-17.6, 68.5, -19.8)
(6.1, 68.5, 20.8)
(-9.8, 68.5, 27.0)
(8.8, 68.5, -10.1)
(-9.8, 68.5, 1.3)
(7.6, 68.5, 17.8)
(15.7, 68.5, -6.9)
(-13.3, 68.5, 26.9)
(30.5, 68.5, -6.0)
(-6.2, 68.5, 17.6)
(-23.2, 68.5, 21.6)
(-28.6, 68.5, -2.7)
(-2.6, 68.5, -28.0)
(4.6, 68.5, 0.8)
(-12.4, 68.5, 18.8)
(2.2, 68.5, 27.4)
(9.8, 68.5, -11.2)
(-17.3, 68.5, -8.2)
(-21.9, 68.5, 17.0)
(23.3, 68.5, 9.5)
(-11.6, 68.5, 15.3)
(-26.6, 68.5, -2.1)
(21.9, 68.5, 5.4)
(-9.6, 68.5, -4.4)
(-1.0, 68.5, 21.2)
(1.8, 68.5, 20.7)
(6.8, 68.5, -23.7)
(-20.7, 68.5, 3.1)
(-11.4, 68.5, 29.2)
(3.5, 68.5, 28.9)
(-3.9, 68.5, 2.7)
(7.4, 68.5, -22.3)
(-3.3, 68.5, 22.5)
(-2.1, 68.5, 20.5)
(-10.0, 68.5, 12.1)
(-4.1, 68.5, -6.1)
(11.6, 68.5, -27.6)
(20.0, 68.5, 15.1)
(19.6, 68.5, -19.0)
(11.1, 68.5, -9.1)
(3.2, 68.5, -31.3)
