(16.4, 68.5, -12.9)
(-12.8, 68.5, -8.8)
(0.9, 68.5, 23.8)
(-6.4, 68.5, -19.4)
(-1.9, 68.5, 6.2)
(-1.1, 68.5, 19.8)
(9.4, 68.5, -25.5)
(23.4, 68.5, -18.8)
(-0.2, 68.5, -6.0)
(-21.4, 68.5, -10.0)
(-15.5, 68.5, -5.8)
(-24.5, 68.5, -14.0)
(4.6, 68.5, -11.7)
(1.2, 68.5, -1.2)
(3.3, 68.5, 13.9)
(10.8, 68.5, 17.2)
(-19.4, 68.5, 18.6)
(-9.2, 68.5, 27.5)
(-2.0, 68.5, 26.1)
(-10.3, 68.5, -3.8)
(8.6, 68.5, 26.8)
(-11.0, 68.5, -16.5)
(2.8, 68.5, -27.5)
(-8.2, 68.5, 18.0)
(1.4, 68.5, 11.2)
(8.4, 68.5, -24.5)
(8.5, 68.5, 17.6)
(-4.8, 68.5, 9.6)
(25.4, 68.5, 10.1)
(-13.6, 68.5, 21.7)
(25.1, 68.5, -10.6)
(29.8, 68.5, 6.5)
(30.0, 68.5, -9.3)
(16.3, 68.5, -2.7)
(20.9, 68.5, -7.7)
(-23.6, 68.5, 21.0)
(-1.5, 68.5, -9.9)
(-15.4, 68.5, 12.3)
(-16.3, 68.5, 0.9)
(-24.8, 68.5, 11.9)
(4.6, 68.5, 6.9)
(-12.0, 68.5, -21.3)
(23.6, 68.5, 7.5)
(4.4, 68.5, -11.2)
(13.1, 68.5, -29.2)
(-15.7, 68.5, 15.9)
(-0.2, 68.5, -9.4)
(-16.4, 68.5, -18.3)
(-4.8, 68.5, -31.9)
(-9.7, 68.5, 1.9)
(-12.7, 68.5, -29.7)
(-13.7, 68.5, -25.6)
(-5.2, 68.5, 11.6)
(-18.8, 68.5, 15.4)
(-28.8, 68.5, 11.5)
(10.0, 68.5, 19.2)
(2.3, 68.5, 11.2)
(17.1, 68.5, -6.3)
(-18.6, 68.5, 5.3)
(-2.0, 68.5, -6.2)
(20.0, 68.5, 8.6)
(22.2, 68.5, -22.5)
(5.0, 68.5, 15.4)
(-5.1, 68.5, -27.3)
(-14.8, 68.5, -24.8)
(18.9, 68.5, 18.7)
(-18.1, 68.5, -3.9)
(-13.9, 68.5, -13.1)
(8.8, 68.5, -8.0)
(-19.7, 68.5, 25.0)
(-4.1, 68.5, 27.8)
(-3.6, 68.5, 6.4)
(9.0, 68.5, -22.2)
(-11.4, 68.5, 13.5)
(16.7, 68.5, -17.2)
(27.4, 68.5, -2.4)
(0.0, 68.5, 29.9)
(-20.9, 68.5, 2.6)
(0.5, 68.5, -27.6)
(21.1, 68.5, -21.8)
(17.6, 68.5, 16.6)
(7.5, 68.5, 6.5)
(10.4, 68.5, 8.3)
(2.2, 68.5, 18.8)
(-6.6, 68.5, 4.0)
(-7.9, 68.5, 22.7)
(-4.9, 68.5, -3.8)
(16.9, 68.5, 12.9)
(-7.6, 68.5, -5.9)
(6.6, 68.5, 5.7)
(-3.8, 68.5, -2.2)
(0.1, 68.5, 4.1)
(21.7, 68.5, -10.3)
(-4.3, 68.5, -23.0)
(-2.2, 68.5, -8.2)
(-17.4, 68.5, 22.2)
(4.4, 68.5, 26.2)
(-16.7, 68.5, 25.8)
(7.8, 68.5, -29.6)
(-28.6, 68.5, -10.4)
(-14.1, 68.5, -28.1)
(7.0, 68.5, -12.3)
(2.2, 68.5, -9.7)
(-18.2, 68.5, 24.8)
(13.8, 68.5, 0.3)
(-7.1, 68.5, 23.6)
(-13.4, 68.5, 23.6)
(-3.5, 68.5, 13.4)
(-3.9, 68.5, -27.0)
(3.9, 68.5, 9.2)
(0.1, 68.5, 11.2)
(-18.4, 68.5, -18.4)
(-10.7, 68.5, -4.9)
(14.0, 68.5, 14.0)
(26.8, 68.5, 13.3)
(4.0, 68.5, -3.2)
(17.0, 68.5, -8.3)
(-21.2, 68.5, -10.3)
(24.3, 68.5, 14.1)
(30.2, 68.5, 11.2)
(10.8, 68.5, 16.1)
(5.2, 68.5, 28.2)
(-23.1, 68.5, -5.3)
(0.0, 68.5, 2.5)
(15.3, 68.5, 3.5)
(-2.1, 68.5, 13.3)
(18.0, 68.5, -24.6)
(31.9, 68.5, -5.6)
(0.9, 68.5, 1.9)
(-18.8, 68.5, 9.6)
(-8.3, 68.5, -26.8)
(19.3, 68.5, 2.9)
(-26.3, 68.5, 11.0)
(-27.2, 68.5, 11.2)
(-21.0, 68.5, 20.3)
(-15.6, 68.5, 7.3)
(6.9, 68.5, -2.2)
(19.8, 68.5, 11.3)
(-4.1, 68.5, -0.2)
(-12.5, 68.5, -23.0)
(-22.2, 68.5, -4.8)
(12.4, 68.5, -19.7)
(11.8, 68.5, 29.1)
(16.2, 68.5, -20.3)
(-28.2, 68.5, -15.9)
(32.2, 68.5, -3.1)
(-9.7, 68.5, 3.2)
(-8.0, 68.5, -28.6)
(27.0, 68.5, 6.2)
(-15.7, 68.5, 24.9)
(15.8, 68.5, -9.6)
(17.8, 68.5, 20.4)
(-28.4, 68.5, -6.2)
(3.2, 68.5, 0.9)
(29.2, 68.5, -13.8)
(-29.1, 68.5, -10.0)
(-5.6, 68.5, -20.8)
(22.5, 68.5, 15.7)
(-27.9, 68.5, 7.9)
(14.8, 68.5, -10.8)
(-0.4, 68.5, -25.7)
(1.5, 68.5, 32.4)
(6.1, 68.5, 1.2)
(19.7, 68.5, 14.9)
(13.9, 68.5, 28.6)
(-21.8, 68.5, -20.1)
(3.3, 68.5, -10.0)
(8.3, 68.5, 9.6)
(15.8, 68.5, 18.1)
(3.9, 68.5, 17.6)
(22.8, 68.5, -2.1)
(7.5, 68.5, -7.5)
(19.2, 68.5, -6.9)
(0.3, 68.5, -6.4)
(26.1, 68.5, -4.0)
(16.9, 68.5, 22.0)
(19.5, 68.5, 21.0)
(15.6, 68.5, -5.9)
(24.2, 68.5, -18.0)
(-9.9, 68.5, -11.8)
(-23.9, 68.5, -4.1)
(22.9, 68.5, 4.7)
(31.9, 68.5, -0.1)
(12.1, 68.5, 20.5)
(11.1, 68.5, -15.3)
(1.6, 68.5, 4.2)
